"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
18931,1153.586,2,1203,1218,723,738,15,14,4,2,"work or school","Restaurant, bar or club",2005,"walking"
18942,1737.84,2,950,1000,590,600,10,14,1,2,"work or school","home",2005,"walking"
18942,1737.84,2,1400,1410,840,850,10,14,2,1,"home","work or school",2005,"walking"
18962,2266.941,6,1730,1731,1050,1051,1,14,1,3,"other's home","home",2005,"walking"
18962,2266.941,6,130,131,1530,1531,1,14,3,1,"home","other's home",2005,"walking"
18973,1208.661,3,2000,2030,1200,1230,30,14,9,1,"home","outdoors",2005,"walking"
18978,1906.232,2,1300,1302,780,782,2,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
18978,1906.232,2,1307,1309,787,789,2,14,4,2,"work or school","Restaurant, bar or club",2005,"walking"
18980,3307.443,5,1130,1131,690,691,1,14,2,2,"work or school","work or school",2005,"walking"
18980,3307.443,5,1630,1632,990,992,2,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18981,375.2931,7,1200,1215,720,735,15,14,8,4,"Restaurant, bar or club","work or school",2005,"walking"
18981,375.2931,7,1230,1245,750,765,15,14,4,8,"work or school","Restaurant, bar or club",2005,"walking"
18981,375.2931,7,1700,1705,1020,1025,5,14,8,4,"Restaurant, bar or club","work or school",2005,"walking"
18989,1100.543,1,2000,2010,1200,1210,10,14,3,1,"home","other's home",2005,"walking"
19005,529.1802,7,715,717,435,437,2,14,1,2,"work or school","home",2005,"walking"
